annee,temperature
1996,14.379175465735708
1997,15.914509632225931
1998,15.126163229547515
1999,15.459597922149701
2000,15.557236912751842
2001,15.251966122202054
2002,15.631787589177613
2003,16.313227370689685
2004,15.184739253470008
2005,15.225059617088048
2006,15.8513835588769
2007,15.546280154064418
2008,15.108758977112528
2009,15.649780509218685
2010,14.41709073774902
2011,16.34919962335218
2012,15.441568731018116
2013,14.799369333858857
2014,16.31925221384055
2015,16.206450558787083
2016,15.697562413996419
2017,16.027261380805403
2018,16.49805109296813
2019,17.662552594670487
